"word"	"freq"	"probability"
"567"	"themselves "	97	0.000185504984729306
"568"	"gave "	97	0.000185504984729306
"569"	"cake "	96	0.000183592562206324
"570"	"meet "	96	0.000183592562206324
"571"	"mine "	96	0.000183592562206324
"572"	"cold "	96	0.000183592562206324
"573"	"non "	96	0.000183592562206324
"574"	"understand "	96	0.000183592562206324
"575"	"visit "	96	0.000183592562206324
"576"	"looked "	96	0.000183592562206324
"577"	"country "	96	0.000183592562206324
"578"	"forget "	95	0.000181680139683341
"579"	"hell "	95	0.000181680139683341
"580"	"although "	95	0.000181680139683341
"581"	"office "	95	0.000181680139683341
"582"	"project "	95	0.000181680139683341
"583"	"written "	94	0.000179767717160359
"584"	"turned "	94	0.000179767717160359
"585"	"cause "	94	0.000179767717160359
"586"	"cover "	94	0.000179767717160359
"587"	"they're "	94	0.000179767717160359
"588"	"sleep "	94	0.000179767717160359
"589"	"perhaps "	93	0.000177855294637376
"590"	"deal "	93	0.000177855294637376
"591"	"yesterday "	93	0.000177855294637376
"592"	"series "	93	0.000177855294637376
"593"	"you'll "	93	0.000177855294637376
"594"	"there's "	93	0.000177855294637376
"595"	"art "	93	0.000177855294637376
"596"	"dinner "	92	0.000175942872114393
"597"	"plan "	92	0.000175942872114393
"598"	"exactly "	92	0.000175942872114393
"599"	"ya "	92	0.000175942872114393
"600"	"students "	92	0.000175942872114393
"601"	"woman "	92	0.000175942872114393
"602"	"box "	91	0.000174030449591411
"603"	"dark "	91	0.000174030449591411
"604"	"seriously "	91	0.000174030449591411
"605"	"rock "	91	0.000174030449591411
"606"	"glad "	91	0.000174030449591411
"607"	"alone "	91	0.000174030449591411
"608"	"taken "	91	0.000174030449591411
"609"	"let's "	91	0.000174030449591411
"610"	"form "	91	0.000174030449591411
"611"	"n "	91	0.000174030449591411
"612"	"lives "	91	0.000174030449591411
"613"	"waiting "	91	0.000174030449591411
"614"	"worth "	91	0.000174030449591411
"615"	"law "	90	0.000172118027068428
"616"	"hands "	90	0.000172118027068428
"617"	"history "	90	0.000172118027068428
"618"	"email "	90	0.000172118027068428
"619"	"cannot "	90	0.000172118027068428
"620"	"youre "	90	0.000172118027068428
"621"	"saying "	90	0.000172118027068428
"622"	"fine "	89	0.000170205604545446
"623"	"voice "	89	0.000170205604545446
"624"	"etc "	89	0.000170205604545446
"625"	"video "	89	0.000170205604545446
"626"	"chance "	89	0.000170205604545446
"627"	"sound "	89	0.000170205604545446
"628"	"r "	88	0.000168293182022463
"629"	"wife "	88	0.000168293182022463
"630"	"human "	88	0.000168293182022463
"631"	"mr "	88	0.000168293182022463
"632"	"games "	88	0.000168293182022463
"633"	"challenge "	88	0.000168293182022463
"634"	"sunday "	88	0.000168293182022463
"635"	"upon "	88	0.000168293182022463
"636"	"wasnt "	88	0.000168293182022463
"637"	"step "	87	0.000166380759499481
"638"	"husband "	87	0.000166380759499481
"639"	"lunch "	87	0.000166380759499481
"640"	"seeing "	87	0.000166380759499481
"641"	"whether "	87	0.000166380759499481
"642"	"takes "	87	0.000166380759499481
"643"	"completely "	87	0.000166380759499481
"644"	"death "	87	0.000166380759499481
"645"	"air "	87	0.000166380759499481
"646"	"color "	87	0.000166380759499481
"647"	"wasn "	86	0.000164468336976498
"648"	"within "	86	0.000164468336976498
"649"	"ill "	86	0.000164468336976498
"650"	"ideas "	86	0.000164468336976498
"651"	"earth "	86	0.000164468336976498
"652"	"damn "	86	0.000164468336976498
"653"	"bag "	85	0.000162555914453516
"654"	"sad "	85	0.000162555914453516
"655"	"truly "	85	0.000162555914453516
"656"	"drive "	85	0.000162555914453516
"657"	"break "	85	0.000162555914453516
"658"	"matter "	85	0.000162555914453516
"659"	"theres "	85	0.000162555914453516
"660"	"faith "	85	0.000162555914453516
"661"	"design "	85	0.000162555914453516
"662"	"hot "	85	0.000162555914453516
"663"	"stand "	85	0.000162555914453516
"664"	"lord "	84	0.000160643491930533
"665"	"pay "	84	0.000160643491930533
"666"	"middle "	84	0.000160643491930533
"667"	"truth "	83	0.000158731069407551
"668"	"bought "	83	0.000158731069407551
"669"	"near "	83	0.000158731069407551
"670"	"national "	83	0.000158731069407551
"671"	"spent "	83	0.000158731069407551
"672"	"sounds "	83	0.000158731069407551
"673"	"simple "	83	0.000158731069407551
"674"	"usually "	83	0.000158731069407551
"675"	"dance "	82	0.000156818646884568
"676"	"sun "	82	0.000156818646884568
"677"	"space "	82	0.000156818646884568
"678"	"front "	82	0.000156818646884568
"679"	"known "	82	0.000156818646884568
"680"	"john "	82	0.000156818646884568
"681"	"site "	82	0.000156818646884568
"682"	"became "	82	0.000156818646884568
"683"	"agree "	81	0.000154906224361586
"684"	"complete "	81	0.000154906224361586
"685"	"anyway "	81	0.000154906224361586
"686"	"huge "	81	0.000154906224361586
"687"	"blue "	81	0.000154906224361586
"688"	"dog "	81	0.000154906224361586
"689"	"lead "	81	0.000154906224361586
"690"	"large "	81	0.000154906224361586
"691"	"dead "	81	0.000154906224361586
"692"	"church "	81	0.000154906224361586
"693"	"busy "	80	0.000152993801838603
"694"	"ass "	80	0.000152993801838603
"695"	"weather "	80	0.000152993801838603
"696"	"entire "	80	0.000152993801838603
"697"	"process "	80	0.000152993801838603
"698"	"picture "	80	0.000152993801838603
"699"	"wants "	80	0.000152993801838603
"700"	"photos "	80	0.000152993801838603
"701"	"continue "	79	0.00015108137931562
"702"	"create "	79	0.00015108137931562
"703"	"changed "	79	0.00015108137931562
"704"	"begin "	79	0.00015108137931562
"705"	"original "	79	0.00015108137931562
"706"	"ha "	79	0.00015108137931562
"707"	"website "	79	0.00015108137931562
"708"	"kid "	79	0.00015108137931562
"709"	"war "	79	0.00015108137931562
